"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0387683367709962","0.0448203808783281","207.48670720895","-0.864971158461123","0.388053565443996"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0319240150345176","0.04916507946412","213.261368349794","-0.649322962201563","0.516828348302012"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0339090271425796","0.04916507946412","213.261368349794","0.689697393194004","0.491134301953233"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0149573496433293","0.040355691895417","236.415369051365","-0.370637918489706","0.711239106540655"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0115257957218594","0.040355691895417","236.415369051365","-0.285605206614442","0.775430588267683"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0541430242597658","0.045316189727648","238.789963038379","-1.19478324601357","0.233357072359851"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0866298428052118","0.045316189727648","238.789963038379","1.9116753488292","0.0571148415157674"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0527501125405867","0.0475230590345331","236.75540018806","-1.10998983677072","0.26812951475384"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0421766393423292","0.0475230590345331","236.75540018806","0.887498410228205","0.375711308917287"
"motr","gaze_duration","12","24","Gram_x_Synt","0.116317286826902","0.0484646615853724","235.023915973387","2.40004331036141","0.0171722579272546"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0641424490190358","0.0484646615853724","235.023915973387","1.32348905203942","0.186958784932995"
"motr","gaze_duration","12","24","Gram_x_Synt","0.067540140682997","0.0467017677356388","210.38185697176","1.44620094608231","0.149608983152022"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.000699838415761123","0.0467017677356388","210.38185697176","-0.014985266076493","0.988058136240469"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.00189486664363562","0.0451171336273501","212.091291091952","-0.0419988259734423","0.96653914510962"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0467817158328023","0.0451171336273501","212.091291091952","1.03689467995022","0.300965674922628"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0127425366450402","0.0463577379693194","245.000565018826","0.274873995221111","0.783644699219459"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0337310880538682","0.0463577379693194","245.000565018826","-0.727625840505684","0.467537426741677"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0159908301903285","0.0437380338553977","235.306152597396","-0.365604687288774","0.714988520396405"
